"","Rk","Team","Age","W","L","WL_percent","PW","PL","OPtg","DRtg","NRtg","Pace","FTr","3PAr","TS_percent","eFG_percent_offense","TOV_percent_offense","ORB_percent","FT/FGA_offense","eFG_percent_defense","TOV_percent_defense","DRB_percent","FT/FGA_defense","...24","...25","Year"
"1","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2000
"2","1","Portland Trail Blazers","30.0","10","6",".625","11","5","107.7","102.2","+5.5","85.9",".386",".200",".541",NA,".481","12.9","25.9",".303",NA,".478","13.4","75.0",".248",2000
"3","2","Miami Heat","29.6","6","4",".600","6","4","97.4","94.4","+3.0","84.6",".328",".202",".493",NA,".451","14.1","25.7",".227",NA,".431","13.5","80.8",".269",2000
"4","3","Indiana Pacers","30.9","13","10",".565","14","9","109.7","106.8","+2.9","89.0",".322",".239",".545",NA,".488","11.4","25.1",".267",NA,".481","11.2","73.0",".220",2000
"5","4","Los Angeles Lakers","29.3","15","8",".652","13","10","110.1","107.5","+2.6","90.3",".393",".192",".529",NA,".498","11.4","30.6",".245",NA,".476","12.1","73.7",".289",2000
"6","5","Milwaukee Bucks","27.6","2","3",".400","3","2","107.5","105.5","+2.0","89.3",".266",".140",".520",NA,".479","11.3","28.5",".203",NA,".446","11.0","70.4",".262",2000
"7","6","New York Knicks","29.7","9","7",".563","7","9","99.8","101.1","-1.3","84.0",".318",".158",".512",NA,".462","12.5","20.3",".243",NA,".442","12.5","73.3",".250",2000
"8","7","Seattle Supersonics","27.9","2","3",".400","2","3","104.5","105.8","-1.3","89.2",".291",".206",".519",NA,".481","14.0","28.7",".209",NA,".508","15.5","71.9",".214",2000
"9","8","San Antonio Spurs","31.0","1","3",".250","2","2","90.0","91.4","-1.4","90.8",".401",".145",".457",NA,".391","15.4","26.5",".293",NA,".421","14.5","70.8",".149",2000
"10","9","Philadelphia 76ers","27.6","5","5",".500","5","5","106.5","108.0","-1.5","87.5",".369",".154",".507",NA,".452","12.0","31.2",".274",NA,".490","13.1","72.4",".256",2000
"11","10","Minnesota Timberwolves","26.6","1","3",".250","2","2","103.4","105.8","-2.4","82.5",".229",".127",".506",NA,".467","12.2","27.9",".180",NA,".476","13.5","73.9",".265",2000
"12","11","Charlotte Hornets","29.2","1","3",".250","2","2","104.6","107.8","-3.2","85.0",".360",".200",".525",NA,".460","15.1","32.9",".297",NA,".466","12.3","70.1",".244",2000
"13","12","Phoenix Suns","28.4","4","5",".444","3","6","96.6","100.6","-4.0","90.5",".274",".204",".474",NA,".435","14.3","30.3",".192",NA,".436","13.3","68.9",".305",2000
"14","13","Toronto Raptors","29.8","0","3",".000","1","2","97.3","101.9","-4.6","86.0",".419",".212",".477",NA,".403","14.1","30.7",".324",NA,".493","16.7","79.5",".323",2000
"15","14","Utah Jazz","32.2","4","6",".400","3","7","100.6","106.2","-5.6","87.8",".318",".165",".519",NA,".475","14.9","26.4",".235",NA,".483","13.9","72.1",".264",2000
"16","15","Sacramento Kings","27.2","2","3",".400","1","4","105.0","113.7","-8.7","91.8",".370",".215",".512",NA,".456","11.3","26.3",".279",NA,".488","10.0","62.0",".195",2000
"17","16","Detroit Pistons","28.4","0","3",".000","0","3","88.7","100.2","-11.5","89.8",".389",".168",".490",NA,".435","17.3","15.4",".279",NA,".512","17.1","77.3",".233",2000
"18","","League Average","29.5","","","","5","5","104.2","104.2","","87.8",".342",".190",".517",NA,".469","12.8","27.0",".252",NA,".469","12.8","73.0",".252",2000
"19","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2001
"20","1","Los Angeles Lakers","28.3","15","1",".938","14","2","111.6","97.9","+13.7","92.0",".375",".194",".542",NA,".505","12.8","33.0",".254",NA,".433","13.1","74.1",".249",2001
"21","2","Charlotte Hornets","28.1","6","4",".600","7","3","108.0","100.9","+7.1","88.6",".402",".154",".521",NA,".462","11.6","30.3",".301",NA,".470","14.7","73.8",".211",2001
"22","3","Milwaukee Bucks","28.4","10","8",".556","10","8","107.8","106.2","+1.6","88.3",".294",".218",".526",NA,".476","12.5","30.4",".235",NA,".447","10.8","68.8",".242",2001
"23","4","Toronto Raptors","29.6","6","6",".500","6","6","106.0","105.0","+1.0","86.9",".262",".190",".520",NA,".481","13.3","29.4",".198",NA,".477","13.8","71.4",".259",2001
"24","5","Sacramento Kings","26.8","3","5",".375","4","4","101.5","101.3","+0.2","96.2",".333",".166",".495",NA,".432","14.4","32.0",".272",NA,".448","13.0","69.9",".256",2001
"25","6","Philadelphia 76ers","28.3","12","11",".522","11","12","105.7","105.8","-0.1","87.0",".332",".141",".498",NA,".445","11.8","32.7",".253",NA,".486","13.3","71.5",".201",2001
"26","7","San Antonio Spurs","30.2","7","6",".538","6","7","102.2","102.6","-0.4","89.6",".353",".200",".521",NA,".475","13.7","25.0",".253",NA,".442","11.1","70.7",".202",2001
"27","8","New York Knicks","29.9","2","3",".400","2","3","101.3","105.0","-3.7","87.8",".328",".165",".545",NA,".496","15.2","22.4",".255",NA,".462","13.3","70.1",".231",2001
"28","9","Dallas Mavericks","26.1","4","6",".400","4","6","104.2","108.4","-4.2","88.5",".317",".213",".501",NA,".436","11.2","27.0",".269",NA,".491","13.1","69.7",".255",2001
"29","10","Utah Jazz","32.6","2","3",".400","2","3","103.8","108.6","-4.8","86.3",".332",".141",".503",NA,".447","12.0","30.3",".257",NA,".468","13.1","75.0",".332",2001
"30","11","Orlando Magic","25.9","1","3",".250","1","3","107.9","113.9","-6.0","92.8",".273",".228",".511",NA,".479","10.1","27.4",".187",NA,".453","10.3","63.4",".334",2001
"31","12","Indiana Pacers","27.8","1","3",".250","1","3","100.3","107.5","-7.2","87.0",".228",".222",".482",NA,".436","12.1","26.4",".188",NA,".444","10.6","65.9",".277",2001
"32","13","Minnesota Timberwolves","27.8","1","3",".250","1","3","93.5","100.9","-7.4","87.7",".270",".126",".461",NA,".406","12.5","25.0",".220",NA,".470","14.1","75.9",".257",2001
"33","14","Phoenix Suns","28.7","1","3",".250","1","3","92.2","102.1","-9.9","96.0",".254",".190",".445",NA,".404","12.1","27.7",".182",NA,".434","15.1","65.8",".282",2001
"34","15","Portland Trail Blazers","31.3","0","3",".000","0","3","97.3","113.4","-16.1","91.4",".341",".266",".507",NA,".454","14.6","22.1",".258",NA,".486","10.6","65.6",".237",2001
"35","16","Miami Heat","29.8","0","3",".000","0","3","87.5","112.4","-24.9","89.6",".267",".230",".484",NA,".447","18.8","18.8",".189",NA,".496","13.6","69.7",".363",2001
"36","","League Average","28.6","","","","4","4","104.5","104.5","","89.3",".322",".185",".511",NA,".462","12.7","29.3",".244",NA,".462","12.7","70.7",".244",2001
"37","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2002
"38","1","Los Angeles Lakers","28.1","15","4",".789","12","7","106.4","102.3","+4.1","91.5",".349",".224",".527",NA,".482","12.9","29.1",".252",NA,".455","12.1","72.9",".231",2002
"39","2","San Antonio Spurs","28.3","4","6",".400","6","4","106.2","102.7","+3.5","85.8",".349",".193",".518",NA,".465","11.2","26.6",".266",NA,".466","11.4","72.4",".175",2002
"40","3","Boston Celtics","27.1","9","7",".563","10","6","101.5","98.4","+3.1","89.9",".292",".292",".515",NA,".469","13.8","25.0",".226",NA,".450","14.3","75.1",".253",2002
"41","4","Sacramento Kings","27.2","10","6",".625","9","7","106.3","103.9","+2.4","93.9",".363",".196",".529",NA,".478","13.4","29.4",".269",NA,".460","12.9","69.6",".222",2002
"42","5","Dallas Mavericks","26.5","4","4",".500","4","4","111.7","111.4","+0.3","96.4",".287",".251",".550",NA,".499","11.2","24.2",".240",NA,".493","12.9","67.6",".288",2002
"43","6","Indiana Pacers","26.1","2","3",".400","3","2","97.1","96.9","+0.2","90.6",".297",".155",".533",NA,".489","17.5","21.5",".226",NA,".448","13.7","75.8",".205",2002
"44","7","Charlotte Hornets","28.7","4","5",".444","4","4","103.9","103.9","0.0","90.4",".399",".151",".505",NA,".449","13.4","33.2",".289",NA,".454","12.4","73.4",".291",2002
"45","8","New Jersey Nets","26.4","11","9",".550","10","10","102.3","102.3","0.0","92.3",".324",".176",".503",NA,".457","13.0","27.5",".235",NA,".472","14.5","72.3",".277",2002
"46","9","Detroit Pistons","29.3","4","6",".400","5","5","96.1","96.5","-0.4","86.4",".304",".307",".497",NA,".454","14.9","22.9",".220",NA,".446","15.5","72.1",".202",2002
"47","10","Utah Jazz","30.0","1","3",".250","2","2","98.6","99.8","-1.2","89.2",".340",".145",".482",NA,".437","15.3","33.7",".233",NA,".436","16.6","69.1",".336",2002
"48","11","Toronto Raptors","29.9","2","3",".400","2","3","97.8","101.1","-3.3","85.7",".267",".137",".486",NA,".444","15.6","32.1",".197",NA,".468","15.4","74.3",".281",2002
"49","12","Orlando Magic","28.5","1","3",".250","1","3","101.2","106.6","-5.4","88.1",".395",".210",".509",NA,".451","11.5","20.8",".293",NA,".445","12.8","65.9",".310",2002
"50","13","Portland Trail Blazers","29.2","0","3",".000","1","2","99.3","105.1","-5.8","92.0",".337",".220",".485",NA,".423","13.5","26.9",".268",NA,".487","13.0","77.4",".327",2002
"51","14","Philadelphia 76ers","29.8","2","3",".400","1","4","102.1","112.2","-10.1","87.2",".435",".177",".508",NA,".440","14.1","29.9",".329",NA,".541","13.8","76.5",".184",2002
"52","15","Minnesota Timberwolves","26.5","0","3",".000","1","2","105.5","116.6","-11.1","96.6",".428",".156",".530",NA,".475","14.0","30.3",".309",NA,".521","9.9","80.8",".277",2002
"53","16","Seattle Supersonics","27.0","2","3",".400","1","4","101.7","113.8","-12.1","84.7",".239",".153",".490",NA,".460","10.8","26.6",".163",NA,".503","10.0","72.7",".263",2002
"54","","League Average","27.8","","","","4","4","103.3","103.3","","90.5",".334",".208",".514",NA,".466","13.3","27.5",".248",NA,".466","13.3","72.5",".248",2002
"55","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2003
"56","1","San Antonio Spurs","27.1","16","8",".667","17","7","103.7","97.7","+6.0","91.0",".399",".198",".525",NA,".476","14.4","28.6",".284",NA,".439","14.0","73.4",".216",2003
"57","2","New Jersey Nets","27.3","14","6",".700","12","8","102.6","98.9","+3.7","89.9",".336",".165",".506",NA,".453","14.1","30.9",".256",NA,".464","14.8","76.7",".252",2003
"58","3","Sacramento Kings","28.3","7","5",".583","7","5","112.0","109.6","+2.4","94.7",".341",".215",".549",NA,".499","12.0","29.3",".265",NA,".495","12.7","70.7",".216",2003
"59","4","Portland Trail Blazers","28.1","3","4",".429","4","3","115.2","114.1","+1.1","87.9",".373",".215",".551",NA,".501","13.0","36.3",".280",NA,".507","11.1","72.7",".228",2003
"60","5","Detroit Pistons","27.9","8","9",".471","9","8","102.7","101.7","+1.0","86.5",".416",".258",".515",NA,".455","13.3","25.5",".308",NA,".459","14.8","70.6",".253",2003
"61","6","Philadelphia 76ers","29.0","6","6",".500","6","6","105.8","104.8","+1.0","85.6",".345",".141",".527",NA,".468","14.5","31.3",".277",NA,".473","13.8","72.3",".268",2003
"62","7","Los Angeles Lakers","27.9","6","6",".500","6","6","107.1","106.9","+0.2","92.8",".313",".240",".529",NA,".491","12.7","27.9",".222",NA,".500","13.1","76.2",".251",2003
"63","8","Dallas Mavericks","27.8","10","10",".500","10","10","110.5","111.1","-0.6","93.2",".245",".269",".546",NA,".503","11.6","25.0",".203",NA,".494","12.5","70.4",".286",2003
"64","9","Boston Celtics","27.0","4","6",".400","5","5","101.4","102.1","-0.7","90.4",".303",".307",".528",NA,".477","14.2","20.8",".243",NA,".449","14.0","73.0",".311",2003
"65","10","New Orleans Hornets","28.8","2","4",".333","3","3","106.4","108.3","-1.9","87.2",".328",".222",".526",NA,".479","14.2","31.5",".244",NA,".471","14.0","68.5",".306",2003
"66","11","Milwaukee Bucks","30.3","2","4",".333","2","4","105.8","110.5","-4.7","90.9",".312",".214",".541",NA,".499","12.9","21.0",".233",NA,".494","14.7","65.3",".306",2003
"67","12","Phoenix Suns","25.4","2","4",".333","2","4","91.5","97.3","-5.8","91.4",".265",".187",".456",NA,".414","14.8","27.8",".189",NA,".438","16.8","67.4",".302",2003
"68","13","Indiana Pacers","26.2","2","4",".333","2","4","100.9","107.1","-6.2","88.8",".418",".227",".496",NA,".422","13.3","29.4",".330",NA,".492","12.3","79.2",".251",2003
"69","14","Minnesota Timberwolves","28.0","2","4",".333","2","4","104.2","110.8","-6.6","94.8",".319",".173",".544",NA,".492","14.6","22.6",".257",NA,".498","10.7","70.9",".211",2003
"70","15","Orlando Magic","26.5","3","4",".429","2","5","99.5","107.8","-8.3","88.0",".357",".223",".517",NA,".459","15.3","24.7",".279",NA,".462","13.0","69.2",".328",2003
"71","16","Utah Jazz","31.2","1","4",".200","1","4","104.2","116.1","-11.9","89.2",".386",".087",".511",NA,".446","15.3","35.4",".303",NA,".516","12.9","65.3",".272",2003
"72","","League Average","27.8","","","","6","5","105.1","105.1","","90.3",".340",".215",".525",NA,".474","13.6","27.9",".259",NA,".474","13.6","72.1",".259",2003
"73","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2004
"74","1","Detroit Pistons","27.3","16","7",".696","17","6","99.3","92.0","+7.3","86.1",".359",".182",".493",NA,".439","14.4","30.2",".263",NA,".423","15.4","74.6",".227",2004
"75","2","Indiana Pacers","26.7","10","6",".625","11","5","98.9","93.7","+5.2","86.5",".330",".237",".497",NA,".448","13.6","25.5",".242",NA,".422","15.6","74.4",".270",2004
"76","3","San Antonio Spurs","26.8","6","4",".600","6","4","102.4","98.8","+3.6","87.2",".314",".248",".515",NA,".485","15.2","30.1",".202",NA,".482","15.3","77.1",".256",2004
"77","4","New Jersey Nets","27.7","7","4",".636","7","4","96.4","93.7","+2.7","88.9",".416",".225",".512",NA,".454","17.7","26.5",".303",NA,".419","15.0","72.0",".245",2004
"78","5","Dallas Mavericks","26.7","1","4",".200","3","2","103.4","102.0","+1.4","96.3",".245",".180",".466",NA,".422","11.3","36.7",".189",NA,".481","14.7","71.6",".204",2004
"79","6","Los Angeles Lakers","30.2","13","9",".591","12","10","100.8","99.8","+1.0","86.6",".375",".207",".508",NA,".477","12.7","24.4",".229",NA,".456","14.3","72.2",".237",2004
"80","7","Miami Heat","25.9","6","7",".462","7","6","97.3","97.1","+0.2","86.4",".343",".179",".489",NA,".433","14.1","27.2",".258",NA,".445","15.8","72.8",".257",2004
"81","8","Sacramento Kings","29.0","7","5",".583","6","6","101.0","100.9","+0.1","93.4",".299",".202",".507",NA,".460","13.2","24.8",".227",NA,".447","13.4","69.3",".208",2004
"82","9","Minnesota Timberwolves","30.0","10","8",".556","9","9","101.9","101.9","0.0","89.8",".302",".198",".527",NA,".479","14.7","24.2",".236",NA,".463","12.1","73.3",".211",2004
"83","10","New Orleans Hornets","30.1","3","4",".429","3","4","92.5","95.9","-3.4","87.1",".272",".243",".472",NA,".422","16.7","28.5",".212",NA,".431","14.9","71.4",".249",2004
"84","11","Denver Nuggets","26.5","1","4",".200","2","3","99.2","103.6","-4.4","91.4",".193",".149",".479",NA,".452","13.1","31.7",".135",NA,".503","15.9","75.8",".253",2004
"85","12","Houston Rockets","28.0","1","4",".200","1","4","94.5","100.5","-6.0","87.7",".306",".204",".501",NA,".458","16.6","24.0",".220",NA,".458","10.2","77.7",".226",2004
"86","13","New York Knicks","28.5","0","4",".000","0","4","90.4","104.1","-13.7","92.9",".316",".181",".461",NA,".411","15.1","26.3",".228",NA,".505","18.1","73.9",".333",2004
"87","14","Milwaukee Bucks","27.5","1","4",".200","1","4","95.3","109.3","-14.0","89.9",".278",".185",".490",NA,".447","15.8","25.8",".206",NA,".494","13.3","68.3",".240",2004
"88","15","Memphis Grizzlies","26.0","0","4",".000","0","4","97.1","113.4","-16.3","86.0",".324",".176",".504",NA,".450","14.7","23.8",".252",NA,".561","16.4","68.5",".233",2004
"89","16","Boston Celtics","26.2","0","4",".000","0","4","92.1","110.4","-18.3","91.7",".383",".223",".513",NA,".445","19.3","23.1",".309",NA,".501","11.9","72.2",".195",2004
"90","","League Average","28.0","","","","5","5","98.8","98.8","","88.4",".328",".203",".500",NA,".454","14.5","27.0",".237",NA,".454","14.5","73.0",".237",2004
"91","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2005
"92","1","Detroit Pistons","28.1","15","10",".600","17","8","105.0","99.5","+5.5","85.3",".286",".176",".508",NA,".466","12.1","29.8",".212",NA,".470","14.5","74.8",".219",2005
"93","2","San Antonio Spurs","28.6","16","7",".696","15","8","110.0","105.1","+4.9","87.3",".367",".240",".546",NA,".500","14.1","31.1",".267",NA,".471","12.1","71.4",".218",2005
"94","3","Miami Heat","28.2","11","4",".733","10","5","107.2","102.5","+4.7","90.2",".409",".211",".568",NA,".533","15.1","22.5",".273",NA,".449","11.2","73.1",".241",2005
"95","4","Phoenix Suns","26.2","9","6",".600","9","6","118.2","113.8","+4.4","94.1",".304",".233",".582",NA,".544","11.8","29.2",".233",NA,".508","11.0","68.4",".190",2005
"96","5","Boston Celtics","26.7","3","4",".429","3","4","100.6","101.3","-0.7","85.9",".306",".200",".520",NA,".475","15.4","26.2",".231",NA,".444","15.6","73.6",".359",2005
"97","6","Dallas Mavericks","27.7","6","7",".462","6","7","113.3","115.0","-1.7","92.1",".338",".207",".544",NA,".492","12.0","32.5",".266",NA,".525","13.0","70.1",".251",2005
"98","7","Chicago Bulls","26.4","2","4",".333","3","3","106.3","108.2","-1.9","96.4",".368",".274",".521",NA,".472","13.4","30.0",".266",NA,".472","12.6","70.3",".321",2005
"99","8","Seattle Supersonics","26.3","6","5",".545","5","6","111.1","113.0","-1.9","88.7",".369",".203",".547",NA,".489","13.3","33.3",".295",NA,".493","12.6","69.2",".286",2005
"100","9","Washington Wizards","25.5","4","6",".400","4","6","105.6","108.2","-2.6","95.1",".409",".228",".515",NA,".459","12.3","28.9",".298",NA,".505","14.6","70.5",".260",2005
"101","10","Houston Rockets","29.8","3","4",".429","3","4","111.7","114.9","-3.2","87.3",".344",".236",".564",NA,".513","14.2","27.8",".272",NA,".498","12.9","66.8",".316",2005
"102","11","Indiana Pacers","29.2","6","7",".462","5","8","97.7","101.1","-3.4","85.3",".361",".243",".496",NA,".434","15.1","26.4",".283",NA,".463","14.4","71.6",".235",2005
"103","12","Sacramento Kings","27.6","1","4",".200","2","3","113.0","117.9","-4.9","90.4",".285",".241",".527",NA,".479","10.3","30.4",".227",NA,".508","12.9","63.9",".338",2005
"104","13","Philadelphia 76ers","26.5","1","4",".200","1","4","101.2","110.1","-8.9","87.9",".256",".244",".513",NA,".479","12.6","23.1",".183",NA,".512","15.7","69.6",".260",2005
"105","14","Denver Nuggets","26.5","1","4",".200","1","4","97.4","108.5","-11.1","90.7",".387",".107",".490",NA,".431","12.4","23.1",".285",NA,".487","13.4","73.4",".316",2005
"106","15","Memphis Grizzlies","26.2","0","4",".000","1","3","112.0","124.0","-12.0","91.7",".194",".225",".539",NA,".517","10.1","26.6",".137",NA,".570","10.6","72.5",".301",2005
"107","16","New Jersey Nets","27.5","0","4",".000","1","3","100.6","113.9","-13.3","91.4",".369",".254",".491",NA,".432","11.7","26.5",".277",NA,".570","14.7","77.3",".316",2005
"108","","League Average","27.6","","","","5","5","107.8","107.8","","89.3",".339",".218",".534",NA,".487","13.1","28.7",".253",NA,".487","13.1","71.3",".253",2005
