"","Rk","Team","Age","W","L","WL_percent","PW","PL","OPtg","DRtg","NRtg","Pace","FTr","3PAr","TS_percent","eFG_percent_offense","TOV_percent_offense","ORB_percent","FT/FGA_offense","eFG_percent_defense","TOV_percent_defense","DRB_percent","FT/FGA_defense","...24","...25","Year"
"326","1","Golden State Warriors","28.4","16","5",".762","17","4","113.9","103.6","+10.3","96.5",".237",".365",".581",NA,".545","11.9","21.8",".195",NA,".481","12.3","77.6",".186",2018
"327","2","Indiana Pacers","26.2","3","4",".429","5","2","110.9","104.6","+6.3","90.7",".241",".339",".567",NA,".542","12.9","21.6",".171",NA,".503","14.3","77.7",".238",2018
"328","3","Philadelphia 76ers","26.5","5","5",".500","6","4","110.4","106.5","+3.9","97.5",".320",".331",".539",NA,".493","12.6","29.1",".243",NA,".514","12.7","80.8",".232",2018
"329","4","Houston Rockets","29.8","11","6",".647","10","7","109.6","107.7","+1.9","95.7",".261",".466",".552",NA,".514","11.3","20.0",".201",NA,".530","13.2","80.1",".188",2018
"330","5","Boston Celtics","24.8","11","8",".579","10","9","107.7","107.0","+0.7","93.1",".283",".367",".541",NA,".500","11.1","20.4",".217",NA,".518","12.9","79.5",".202",2018
"331","6","Milwaukee Bucks","25.3","3","4",".429","3","4","108.8","109.4","-0.6","92.3",".254",".328",".585",NA,".561","13.1","14.7",".179",NA,".503","12.1","75.5",".219",2018
"332","7","New Orleans Pelicans","26.8","5","4",".556","4","5","107.1","107.8","-0.7","102.7",".204",".301",".562",NA,".533","12.9","17.7",".160",NA,".514","12.0","78.8",".169",2018
"333","8","Cleveland Cavaliers","30.3","12","10",".545","10","12","109.4","111.2","-1.8","91.6",".282",".370",".550",NA,".512","12.1","23.5",".212",NA,".529","11.5","79.4",".195",2018
"334","9","Washington Wizards","27.0","2","4",".333","3","3","110.3","112.3","-2.0","97.2",".274",".256",".561",NA,".513","12.4","21.2",".233",NA,".539","13.1","78.1",".239",2018
"335","10","Utah Jazz","25.6","5","6",".455","5","6","104.7","106.9","-2.2","97.8",".284",".361",".549",NA,".520","14.3","20.8",".195",NA,".505","11.6","80.8",".196",2018
"336","11","Oklahoma City Thunder","27.9","2","4",".333","2","4","103.5","107.9","-4.4","97.8",".245",".333",".528",NA,".490","12.7","20.8",".189",NA,".521","13.7","75.4",".212",2018
"337","12","Toronto Raptors","26.2","4","6",".400","4","6","112.0","116.6","-4.6","94.8",".290",".324",".578",NA,".536","13.1","23.2",".232",NA,".541","10.5","79.1",".217",2018
"338","13","Portland Trail Blazers","25.6","0","4",".000","1","3","106.9","116.0","-9.1","98.7",".173",".354",".539",NA,".512","12.9","23.9",".135",NA,".582","13.0","81.1",".203",2018
"339","14","Minnesota Timberwolves","27.6","1","4",".200","1","4","107.0","116.2","-9.2","95.0",".276",".264",".548",NA,".515","12.0","20.1",".201",NA,".531","7.9","80.3",".193",2018
"340","15","San Antonio Spurs","30.2","1","4",".200","1","4","103.7","113.1","-9.4","93.3",".274",".337",".515",NA,".463","10.5","18.5",".229",NA,".535","12.9","73.7",".205",2018
"341","16","Miami Heat","27.5","1","4",".200","1","4","103.0","113.7","-10.7","100.4",".345",".333",".542",NA,".507","14.4","20.7",".234",NA,".514","13.6","70.4",".279",2018
"342","","League Average","27.5","","","","5","5","108.9","108.9","","95.4",".267",".355",".555",NA,".518","12.3","21.4",".204",NA,".518","12.3","78.6",".204",2018
"343","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2019
"344","1","Milwaukee Bucks","27.6","10","5",".667","11","4","111.1","102.5","+8.6","100.1",".317",".431",".560",NA,".523","11.3","21.5",".231",NA,".474","10.8","83.0",".207",2019
"345","2","Toronto Raptors","28.4","16","8",".667","16","8","110.0","104.4","+5.6","96.0",".275",".406",".561",NA,".514","11.2","18.9",".228",NA,".491","14.0","77.7",".233",2019
"346","3","Golden State Warriors","29.1","14","8",".636","13","9","115.3","111.9","+3.4","98.1",".282",".380",".589",NA,".548","13.3","24.8",".230",NA,".522","13.1","76.6",".243",2019
"347","4","Houston Rockets","29.5","6","5",".545","7","4","110.9","107.6","+3.3","97.0",".290",".510",".574",NA,".537","14.3","23.1",".221",NA,".499","12.9","75.0",".217",2019
"348","5","Philadelphia 76ers","27.2","7","5",".583","7","5","109.9","106.8","+3.1","98.9",".301",".331",".559",NA,".514","14.4","27.2",".238",NA,".488","11.4","79.5",".246",2019
"349","6","Denver Nuggets","25.4","7","7",".500","8","6","114.4","112.5","+1.9","92.6",".279",".308",".538",NA,".495","8.7","27.3",".218",NA,".497","8.8","74.8",".212",2019
"350","7","Boston Celtics","26.2","5","4",".556","4","5","102.2","103.6","-1.4","99.9",".288",".392",".539",NA,".491","13.5","16.6",".231",NA,".491","10.9","82.4",".199",2019
"351","8","Portland Trail Blazers","26.6","8","8",".500","7","9","110.6","112.0","-1.4","96.0",".274",".363",".541",NA,".501","11.3","24.4",".210",NA,".503","11.3","72.4",".234",2019
"352","9","San Antonio Spurs","28.3","3","4",".429","3","4","112.4","114.5","-2.1","91.9",".270",".233",".542",NA,".503","8.1","24.2",".208",NA,".516","8.7","76.8",".177",2019
"353","10","Oklahoma City Thunder","26.2","1","4",".200","2","3","105.4","111.2","-5.8","99.9",".295",".365",".541",NA,".500","13.5","22.7",".223",NA,".519","12.7","75.7",".209",2019
"354","11","Indiana Pacers","27.7","0","4",".000","1","3","96.3","104.2","-7.9","95.3",".246",".356",".496",NA,".461","11.5","16.6",".177",NA,".517","15.2","81.1",".206",2019
"355","12","Utah Jazz","27.0","1","4",".200","1","4","99.2","108.5","-9.3","98.6",".296",".414",".501",NA,".455","13.5","24.9",".222",NA,".526","13.8","80.5",".219",2019
"356","13","Los Angeles Clippers","26.7","2","4",".333","1","5","111.5","121.0","-9.5","102.9",".323",".355",".563",NA,".511","12.8","21.9",".264",NA,".574","12.5","74.5",".251",2019
"357","14","Brooklyn Nets","25.3","1","4",".200","1","4","106.7","117.3","-10.6","104.4",".319",".372",".534",NA,".480","12.0","22.6",".258",NA,".542","13.3","67.9",".230",2019
"358","15","Orlando Magic","25.9","1","4",".200","1","4","96.2","111.2","-15.0","95.7",".267",".419",".496",NA,".451","14.4","20.3",".207",NA,".550","11.8","82.8",".161",2019
"359","16","Detroit Pistons","26.5","0","4",".000","0","4","96.8","120.2","-23.4","101.3",".171",".344",".471",NA,".444","9.2","19.8",".124",NA,".583","12.8","76.4",".246",2019
"360","","League Average","27.5","","","","5","5","109.4","109.4","","97.5",".284",".379",".550",NA,".508","12.0","22.7",".223",NA,".508","12.0","77.3",".223",2019
"361","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2020
"362","1","Los Angeles Lakers","29.3","16","5",".762","15","6","115.9","108.9","+7.0","97.3",".293",".407",".595",NA,".561","14.0","26.1",".222",NA,".525","13.6","81.9",".251",2020
"363","2","Boston Celtics","25.0","10","7",".588","11","6","111.3","106.3","+5.0","96.4",".285",".429",".572",NA,".527","12.7","21.0",".233",NA,".490","11.5","80.5",".234",2020
"364","3","Los Angeles Clippers","27.9","7","6",".538","8","5","115.4","111.1","+4.3","98.0",".291",".380",".585",NA,".544","11.8","21.5",".232",NA,".542","12.6","80.6",".209",2020
"365","4","Toronto Raptors","27.1","7","4",".636","7","4","108.3","104.2","+4.1","99.1",".240",".455",".559",NA,".525","11.8","17.6",".187",NA,".507","13.7","82.2",".211",2020
"366","5","Utah Jazz","26.8","3","4",".429","4","3","122.2","118.5","+3.7","91.5",".284",".455",".616",NA,".583","11.5","22.8",".220",NA,".554","11.4","75.1",".169",2020
"367","6","Miami Heat","27.1","14","7",".667","12","9","113.5","111.5","+2.0","95.9",".322",".433",".587",NA,".537","12.3","19.1",".266",NA,".529","13.0","77.3",".215",2020
"368","7","Milwaukee Bucks","29.8","5","5",".500","5","5","109.7","108.5","+1.2","100.3",".279",".426",".568",NA,".537","13.2","20.5",".202",NA,".527","13.5","83.8",".241",2020
"369","8","Houston Rockets","30.2","5","7",".417","6","6","108.3","107.5","+0.8","98.6",".235",".545",".569",NA,".535","12.4","14.6",".186",NA,".534","15.4","78.0",".209",2020
"370","9","Denver Nuggets","25.2","9","10",".474","8","11","113.6","116.0","-2.4","94.1",".260",".392",".584",NA,".545","13.2","23.0",".212",NA,".551","12.7","76.8",".233",2020
"371","10","Oklahoma City Thunder","25.7","3","4",".429","2","5","102.4","108.7","-6.3","100.1",".281",".428",".542",NA,".500","15.0","20.1",".217",NA,".535","11.5","84.6",".146",2020
"372","11","Orlando Magic","27.0","1","4",".200","1","4","102.5","111.3","-8.8","104.4",".237",".449",".547",NA,".505","13.0","13.5",".199",NA,".572","14.5","82.0",".177",2020
"373","12","Dallas Mavericks","26.2","2","4",".333","1","5","112.7","122.0","-9.3","102.1",".297",".421",".580",NA,".549","11.2","16.9",".215",NA,".579","10.5","80.4",".248",2020
"374","13","Portland Trail Blazers","26.6","1","4",".200","1","4","104.6","115.0","-10.4","101.9",".283",".347",".537",NA,".492","13.9","21.4",".224",NA,".552","13.0","72.7",".222",2020
"375","14","Indiana Pacers","26.2","0","4",".000","1","3","104.2","115.1","-10.9","96.7",".252",".399",".565",NA,".530","14.6","13.7",".196",NA,".545","13.2","76.9",".288",2020
"376","15","Philadelphia 76ers","26.4","0","4",".000","1","3","105.5","117.9","-12.4","95.2",".381",".360",".512",NA,".443","10.9","26.8",".310",NA,".523","9.7","77.6",".255",2020
"377","16","Brooklyn Nets","25.4","0","4",".000","0","4","102.2","122.0","-19.8","103.5",".268",".504",".518",NA,".482","12.4","18.1",".195",NA,".592","10.6","79.1",".203",2020
"378","","League Average","27.2","","","","5","5","111.3","111.3","","97.6",".281",".427",".574",NA,".534","12.8","20.4",".221",NA,".534","12.8","79.6",".221",2020
"379","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2021
"380","1","Philadelphia 76ers","27.3","7","5",".583","9","3","116.0","108.5","+7.5","100.2",".342",".331",".589",NA,".561","11.5","21.3",".234",NA,".502","11.2","78.8",".235",2021
"381","2","Brooklyn Nets","28.7","7","5",".583","8","4","116.1","109.6","+6.5","96.1",".235",".413",".592",NA,".551","10.9","19.7",".204",NA,".502","11.6","75.0",".190",2021
"382","3","Milwaukee Bucks","29.2","16","7",".696","15","8","112.9","107.6","+5.3","96.9",".228",".384",".550",NA,".524","11.3","27.8",".164",NA,".523","12.2","81.6",".160",2021
"383","4","Phoenix Suns","26.6","14","8",".636","14","8","114.7","110.0","+4.7","95.1",".219",".350",".585",NA,".547","11.3","19.6",".188",NA,".507","10.9","76.1",".194",2021
"384","5","Los Angeles Clippers","29.3","10","9",".526","12","7","120.2","115.9","+4.3","92.8",".290",".444",".604",NA,".562","10.4","21.5",".238",NA,".543","11.1","76.9",".173",2021
"385","6","Utah Jazz","28.6","6","5",".545","5","6","121.4","122.3","-0.9","96.3",".288",".518",".616",NA,".579","12.4","23.7",".231",NA,".562","9.6","76.7",".208",2021
"386","7","Portland Trail Blazers","28.5","2","4",".333","3","3","121.6","122.9","-1.3","95.0",".257",".443",".608",NA,".567","10.7","22.2",".219",NA,".555","9.9","73.5",".216",2021
"387","8","Atlanta Hawks","25.6","10","8",".556","8","10","109.8","111.3","-1.5","96.8",".241",".394",".554",NA,".516","11.5","20.9",".192",NA,".520","11.6","75.0",".197",2021
"388","9","Dallas Mavericks","26.2","3","4",".429","2","5","115.5","121.1","-5.6","91.8",".233",".407",".559",NA,".534","10.4","23.7",".164",NA,".571","10.9","77.4",".246",2021
"389","10","Denver Nuggets","26.3","4","6",".400","3","7","116.8","122.4","-5.6","96.3",".227",".418",".566",NA,".536","9.9","25.1",".172",NA,".576","10.6","79.6",".223",2021
"390","11","Los Angeles Lakers","29.1","2","4",".333","2","4","104.0","110.9","-6.9","93.8",".295",".396",".520",NA,".473","12.9","23.7",".229",NA,".530","12.1","80.3",".212",2021
"391","12","New York Knicks","27.3","1","4",".200","1","4","103.5","111.0","-7.5","93.7",".252",".352",".505",NA,".458","11.3","24.6",".206",NA,".519","10.4","81.2",".189",2021
"392","13","Memphis Grizzlies","24.0","1","4",".200","1","4","115.6","124.0","-8.4","99.5",".216",".335",".556",NA,".523","9.1","23.8",".172",NA,".586","12.2","75.4",".257",2021
"393","14","Boston Celtics","25.0","1","4",".200","1","4","117.1","128.7","-11.6","95.8",".311",".415",".560",NA,".508","11.5","28.8",".256",NA,".582","10.6","73.5",".296",2021
"394","15","Washington Wizards","27.4","1","4",".200","1","4","107.6","121.3","-13.7","102.2",".327",".273",".543",NA,".498","11.7","23.1",".246",NA,".575","10.3","77.4",".234",2021
"395","16","Miami Heat","28.8","0","4",".000","0","4","96.6","116.8","-20.2","98.9",".227",".401",".499",NA,".462","12.5","17.1",".174",NA,".538","12.6","68.6",".177",2021
"396","","League Average","27.6","","","","5","5","114.3","114.3","","96.1",".256",".395",".571",NA,".534","11.2","22.8",".201",NA,".534","11.2","77.2",".201",2021
"397","Rk","Tm","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2022
"398","1","Golden State Warriors","28.2","16","6",".727","14","8","115.2","110.0","+5.2","97.1",".230",".433",".590",NA,".561","13.3","23.6",".176",NA,".522","12.7","77.5",".205",2022
"399","2","Miami Heat","28.3","11","7",".611","11","7","110.6","106.6","+4.0","94.2",".253",".408",".550",NA,".509","12.0","23.3",".203",NA,".520","14.9","79.4",".251",2022
"400","3","Boston Celtics","26.3","14","10",".583","15","9","110.7","107.0","+3.7","95.3",".283",".448",".574",NA,".533","13.8","21.9",".226",NA,".501","12.3","76.9",".181",2022
"401","4","Memphis Grizzlies","23.9","6","6",".500","7","5","110.2","107.8","+2.4","102.1",".297",".392",".545",NA,".507","11.9","25.8",".218",NA,".530","15.6","77.7",".211",2022
"402","5","Milwaukee Bucks","29.5","7","5",".583","7","5","104.4","102.8","+1.6","98.5",".236",".367",".529",NA,".498","12.4","21.6",".172",NA,".499","11.9","83.8",".168",2022
"403","6","Dallas Mavericks","27.1","9","9",".500","9","9","114.9","114.1","+0.8","92.6",".289",".513",".584",NA,".546","10.1","15.7",".223",NA,".539","12.8","74.7",".214",2022
"404","7","Philadelphia 76ers","27.4","6","6",".500","6","6","112.3","112.0","+0.3","92.2",".290",".426",".592",NA,".545","14.3","20.4",".246",NA,".512","11.0","75.8",".207",2022
"405","8","Phoenix Suns","27.8","7","6",".538","6","7","115.6","116.7","-1.1","93.1",".229",".328",".591",NA,".557","12.7","24.2",".187",NA,".539","12.2","73.8",".237",2022
"406","9","New Orleans Pelicans","25.5","2","4",".333","3","3","117.6","119.2","-1.6","93.4",".342",".312",".566",NA,".518","13.0","35.0",".267",NA,".575","10.7","80.3",".193",2022
"407","10","Brooklyn Nets","29.5","0","4",".000","1","3","116.3","121.1","-4.8","93.8",".330",".349",".610",NA,".577","14.6","23.0",".244",NA,".562","12.9","69.9",".223",2022
"408","11","Minnesota Timberwolves","24.8","2","4",".333","2","4","106.4","111.8","-5.4","102.6",".341",".435",".579",NA,".527","15.8","17.1",".276",NA,".519","13.6","72.5",".268",2022
"409","12","Utah Jazz","29.1","2","4",".333","2","4","108.8","115.0","-6.2","91.0",".335",".378",".546",NA,".495","11.5","22.8",".264",NA,".540","8.7","85.5",".217",2022
"410","13","Denver Nuggets","28.1","1","4",".200","1","4","113.6","121.8","-8.2","96.9",".304",".379",".586",NA,".543","14.9","28.0",".242",NA,".608","12.2","81.4",".230",2022
"411","14","Toronto Raptors","25.3","2","4",".333","2","4","111.2","120.2","-9.0","91.2",".244",".382",".542",NA,".503","9.5","23.0",".194",NA,".576","14.0","76.7",".275",2022
"412","15","Atlanta Hawks","25.5","1","4",".200","1","4","102.3","114.9","-12.6","95.2",".281",".448",".554",NA,".513","15.7","21.3",".220",NA,".542","12.2","79.0",".194",2022
"413","16","Chicago Bulls","26.4","1","4",".200","1","4","94.9","109.4","-14.5","100.3",".160",".408",".493",NA,".461","11.9","15.8",".133",NA,".553","13.9","81.4",".170",2022
"414","","League Average","27.2","","","","6","5","111.2","111.2","","95.5",".270",".413",".567",NA,".529","12.8","22.3",".212",NA,".529","12.8","77.7",".212",2022
"415","Rk","Team","Age","W","L","W/L%","PW","PL","ORtg","DRtg","NRtg","Pace","FTr","3PAr","TS%",NA,"eFG%","TOV%","ORB%","FT/FGA",NA,"eFG%","TOV%","DRB%","FT/FGA",2023
"416","1","Denver Nuggets","27.1","3","0","1.000","3","0","123.0","106.5","+16.5","95.1",".212",".359",".620",NA,".597","11.3","22.7",".162",NA,".517","12.3","84.0",".238",2023
"417","2","Philadelphia 76ers","28.2","3","0","1.000","3","0","118.8","105.0","+13.8","89.5",".179",".434",".589",NA,".560","13.7","31.1",".151",NA,".528","13.4","85.0",".175",2023
"418","3","Boston Celtics","27.8","2","1",".667","2","1","116.2","110.3","+5.9","101.2",".165",".429",".619",NA,".600","13.6","19.0",".128",NA,".517","12.9","71.1",".121",2023
"419","4","Phoenix Suns","29.8","2","1",".667","2","1","122.0","117.2","+4.8","98.9",".365",".275",".612",NA,".565","10.3","24.1",".290",NA,".543","13.8","74.0",".273",2023
"420","5","Los Angeles Lakers","27.5","1","1",".500","1","1","113.0","109.9","+3.1","97.8",".209",".356",".572",NA,".540","13.0","24.1",".169",NA,".517","10.2","80.7",".174",2023
"421","6","New York Knicks","24.7","2","1",".667","2","1","104.9","102.3","+2.6","92.2",".280",".364",".516",NA,".470","14.6","31.8",".220",NA,".502","16.6","72.2",".175",2023
"422","7","Golden State Warriors","28.5","1","2",".333","2","1","111.6","109.6","+2.0","102.5",".250",".515",".568",NA,".531","14.0","26.1",".199",NA,".486","11.6","71.4",".223",2023
"423","8","Milwaukee Bucks","30.8","1","1",".500","1","1","123.4","122.0","+1.4","103.3",".158",".495",".627",NA,".611","10.6","20.5",".121",NA,".658","15.0","85.7",".185",2023
"424","9","Miami Heat","28.7","1","1",".500","1","1","122.0","123.4","-1.4","103.3",".262",".363",".673",NA,".658","15.0","14.3",".185",NA,".611","10.6","79.5",".121",2023
"425","10","Sacramento Kings","25.6","2","1",".667","1","2","109.6","111.6","-2.0","102.5",".298",".415",".528",NA,".486","11.6","28.6",".223",NA,".531","14.0","73.9",".199",2023
"426","11","Cleveland Cavaliers","25.1","1","2",".333","1","2","102.3","104.9","-2.6","92.2",".246",".404",".532",NA,".502","16.6","27.8",".175",NA,".470","14.6","68.2",".220",2023
"427","12","Memphis Grizzlies","24.3","1","1",".500","1","1","109.9","113.0","-3.1","97.8",".208",".404",".553",NA,".517","10.2","19.3",".174",NA,".540","13.0","75.9",".169",2023
"428","13","Los Angeles Clippers","30.1","1","2",".333","1","2","117.2","122.0","-4.8","98.9",".332",".375",".593",NA,".543","13.8","26.0",".273",NA,".565","10.3","75.9",".290",2023
"429","14","Atlanta Hawks","25.3","1","2",".333","1","2","110.3","116.2","-5.9","101.2",".159",".383",".540",NA,".517","12.9","28.9",".121",NA,".600","13.6","81.0",".128",2023
"430","15","Brooklyn Nets","27.2","0","3",".000","0","3","105.0","118.8","-13.8","89.5",".236",".441",".558",NA,".528","13.4","15.0",".175",NA,".560","13.7","68.9",".151",2023
"431","16","Minnesota Timberwolves","27.3","0","3",".000","0","3","106.5","123.0","-16.5","95.1",".310",".393",".560",NA,".517","12.3","16.0",".238",NA,".597","11.3","77.3",".162",2023
"432","17","New Orleans Pelicans","","0","0","","","","","","","","","","",NA,"","","","",NA,"","","","",2023
"433","18","Oklahoma City Thunder","","0","0","","","","","","","","","","",NA,"","","","",NA,"","","","",2023
"434","19","Chicago Bulls","","0","0","","","","","","","","","","",NA,"","","","",NA,"","","","",2023
"435","20","Toronto Raptors","","0","0","","","","","","","","","","",NA,"","","","",NA,"","","","",2023
"436","","League Average","27.3","","","","1","1","113.3","113.3","","97.3",".243",".401",".576",NA,"","13.0","24.0",".189",NA,"","13.0","76.0",".189",2023
