"","Eastern_Conference","W","L","W/L_percent","GB","PS/G","PA/G","SRS","Year"
"218","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2012
"219","Chicago Bulls*","50","16",".758","—","96.3","88.2","7.43",2012
"220","Indiana Pacers*","42","24",".636","8.0","97.7","94.4","2.60",2012
"221","Milwaukee Bucks","31","35",".470","19.0","99.0","98.7","-0.23",2012
"222","Detroit Pistons","25","41",".379","25.0","90.9","95.7","-5.19",2012
"223","Cleveland Cavaliers","21","45",".318","29.0","93.0","100.2","-7.34",2012
"224","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division",2012
"225","Miami Heat*","46","20",".697","—","98.5","92.5","5.72",2012
"226","Atlanta Hawks*","40","26",".606","6.0","96.6","93.2","2.67",2012
"227","Orlando Magic*","37","29",".561","9.0","94.2","93.4","0.46",2012
"228","Washington Wizards","20","46",".303","26.0","93.6","98.4","-5.14",2012
"229","Charlotte Bobcats","7","59",".106","39.0","87.0","100.9","-13.96",2012
"230","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division",2013
"231","New York Knicks*","54","28",".659","—","100.0","95.7","3.73",2013
"232","Brooklyn Nets*","49","33",".598","5.0","96.9","95.1","1.25",2013
"233","Boston Celtics*","41","40",".506","12.5","96.5","96.7","-0.62",2013
"234","Philadelphia 76ers","34","48",".415","20.0","93.2","96.5","-3.51",2013
"235","Toronto Raptors","34","48",".415","20.0","97.2","98.7","-1.96",2013
"236","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2013
"237","Indiana Pacers*","49","32",".605","—","94.7","90.7","3.34",2013
"238","Chicago Bulls*","45","37",".549","4.5","93.2","92.9","-0.02",2013
"239","Milwaukee Bucks*","38","44",".463","11.5","98.9","100.4","-1.83",2013
"240","Detroit Pistons","29","53",".354","20.5","94.9","98.8","-4.33",2013
"241","Cleveland Cavaliers","24","58",".293","25.5","96.5","101.2","-4.87",2013
"242","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division",2013
"243","Miami Heat*","66","16",".805","—","102.9","95.0","7.03",2013
"244","Atlanta Hawks*","44","38",".537","22.0","98.0","97.5","-0.08",2013
"245","Washington Wizards","29","53",".354","37.0","93.2","95.8","-2.78",2013
"246","Charlotte Bobcats","21","61",".256","45.0","93.4","102.7","-9.29",2013
"247","Orlando Magic","20","62",".244","46.0","94.1","101.1","-7.12",2013
"248","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division",2014
"249","Toronto Raptors*","48","34",".585","—","101.3","98.0","2.55",2014
"250","Brooklyn Nets*","44","38",".537","4.0","98.5","99.5","-1.58",2014
"251","New York Knicks","37","45",".451","11.0","98.6","99.4","-1.40",2014
"252","Boston Celtics","25","57",".305","23.0","96.2","100.7","-4.97",2014
"253","Philadelphia 76ers","19","63",".232","29.0","99.5","109.9","-10.66",2014
"254","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2014
"255","Indiana Pacers*","56","26",".683","—","96.7","92.3","3.63",2014
"256","Chicago Bulls*","48","34",".585","8.0","93.7","91.8","1.20",2014
"257","Cleveland Cavaliers","33","49",".402","23.0","98.2","101.5","-3.86",2014
"258","Detroit Pistons","29","53",".354","27.0","101.0","104.7","-4.13",2014
"259","Milwaukee Bucks","15","67",".183","41.0","95.5","103.7","-8.41",2014
"260","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division",2014
"261","Miami Heat*","54","28",".659","—","102.2","97.4","4.15",2014
"262","Washington Wizards*","44","38",".537","10.0","100.7","99.4","0.48",2014
"263","Charlotte Bobcats*","43","39",".524","11.0","96.9","97.1","-0.89",2014
"264","Atlanta Hawks*","38","44",".463","16.0","101.0","101.5","-0.88",2014
"265","Orlando Magic","23","59",".280","31.0","96.5","102.0","-5.88",2014
"266","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division",2015
"267","Toronto Raptors*","49","33",".598","—","104.0","100.9","2.45",2015
"268","Boston Celtics*","40","42",".488","9.0","101.4","101.2","-0.40",2015
"269","Brooklyn Nets*","38","44",".463","11.0","98.0","100.9","-3.13",2015
"270","Philadelphia 76ers","18","64",".220","31.0","92.0","101.0","-9.04",2015
"271","New York Knicks","17","65",".207","32.0","91.9","101.2","-9.50",2015
"272","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2015
"273","Cleveland Cavaliers*","53","29",".646","—","103.1","98.7","4.08",2015
"274","Chicago Bulls*","50","32",".610","3.0","100.8","97.8","2.54",2015
"275","Milwaukee Bucks*","41","41",".500","12.0","97.8","97.4","-0.09",2015
"276","Indiana Pacers","38","44",".463","15.0","97.3","97.0","-0.23",2015
"277","Detroit Pistons","32","50",".390","21.0","98.5","99.5","-1.39",2015
"278","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division",2015
"279","Atlanta Hawks*","60","22",".732","—","102.5","97.1","4.75",2015
"280","Washington Wizards*","46","36",".561","14.0","98.5","97.8","0.17",2015
"281","Miami Heat","37","45",".451","23.0","94.7","97.3","-2.92",2015
"282","Charlotte Hornets","33","49",".402","27.0","94.2","97.3","-3.44",2015
"283","Orlando Magic","25","57",".305","35.0","95.7","101.4","-5.87",2015
"284","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division",2016
"285","Toronto Raptors*","56","26",".683","—","102.7","98.2","4.08",2016
"286","Boston Celtics*","48","34",".585","8.0","105.7","102.5","2.84",2016
"287","New York Knicks","32","50",".390","24.0","98.4","101.1","-2.74",2016
"288","Brooklyn Nets","21","61",".256","35.0","98.6","106.0","-7.12",2016
"289","Philadelphia 76ers","10","72",".122","46.0","97.4","107.6","-9.92",2016
"290","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2016
"291","Cleveland Cavaliers*","57","25",".695","—","104.3","98.3","5.45",2016
"292","Indiana Pacers*","45","37",".549","12.0","102.2","100.5","1.62",2016
"293","Detroit Pistons*","44","38",".537","13.0","102.0","101.4","0.43",2016
"294","Chicago Bulls","42","40",".512","15.0","101.6","103.1","-1.46",2016
"295","Milwaukee Bucks","33","49",".402","24.0","99.0","103.2","-3.98",2016
"296","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division",2016
"297","Miami Heat*","48","34",".585","—","100.0","98.4","1.50",2016
"298","Atlanta Hawks*","48","34",".585","—","102.8","99.2","3.49",2016
"299","Charlotte Hornets*","48","34",".585","—","103.4","100.7","2.36",2016
"300","Washington Wizards","41","41",".500","7.0","104.1","104.6","-0.50",2016
"301","Orlando Magic","35","47",".427","13.0","102.1","103.7","-1.68",2016
"302","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division",2017
"303","Boston Celtics*","53","29",".646","—","108.0","105.4","2.25",2017
"304","Toronto Raptors*","51","31",".622","2.0","106.9","102.6","3.65",2017
"305","New York Knicks","31","51",".378","22.0","104.3","108.0","-3.87",2017
"306","Philadelphia 76ers","28","54",".341","25.0","102.4","108.1","-5.83",2017
"307","Brooklyn Nets","20","62",".244","33.0","105.8","112.5","-6.74",2017
"308","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2017
"309","Cleveland Cavaliers*","51","31",".622","—","110.3","107.2","2.87",2017
"310","Milwaukee Bucks*","42","40",".512","9.0","103.6","103.8","-0.45",2017
"311","Indiana Pacers*","42","40",".512","9.0","105.1","105.3","-0.64",2017
"312","Chicago Bulls*","41","41",".500","10.0","102.9","102.4","0.03",2017
"313","Detroit Pistons","37","45",".451","14.0","101.3","102.5","-1.29",2017
"314","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division",2017
"315","Washington Wizards*","49","33",".598","—","109.2","107.4","1.36",2017
"316","Atlanta Hawks*","43","39",".524","6.0","103.2","104.0","-1.23",2017
"317","Miami Heat","41","41",".500","8.0","103.2","102.1","0.77",2017
"318","Charlotte Hornets","36","46",".439","13.0","104.9","104.7","-0.07",2017
"319","Orlando Magic","29","53",".354","20.0","101.1","107.6","-6.61",2017
"320","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division",2018
"321","Toronto Raptors*","59","23",".720","—","111.7","103.9","7.29",2018
"322","Boston Celtics*","55","27",".671","4.0","104.0","100.4","3.23",2018
"323","Philadelphia 76ers*","52","30",".634","7.0","109.8","105.3","4.30",2018
"324","New York Knicks","29","53",".354","30.0","104.5","108.0","-3.53",2018
"325","Brooklyn Nets","28","54",".341","31.0","106.6","110.3","-3.67",2018
"326","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2018
"327","Cleveland Cavaliers*","50","32",".610","—","110.9","109.9","0.59",2018
"328","Indiana Pacers*","48","34",".585","2.0","105.6","104.2","1.18",2018
"329","Milwaukee Bucks*","44","38",".537","6.0","106.5","106.8","-0.45",2018
"330","Detroit Pistons","39","43",".476","11.0","103.8","103.9","-0.26",2018
"331","Chicago Bulls","27","55",".329","23.0","102.9","110.0","-6.84",2018
"332","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division",2018
"333","Miami Heat*","44","38",".537","—","103.4","102.9","0.15",2018
"334","Washington Wizards*","43","39",".524","1.0","106.6","106.0","0.53",2018
"335","Charlotte Hornets","36","46",".439","8.0","108.2","108.0","0.07",2018
"336","Orlando Magic","25","57",".305","19.0","103.4","108.2","-4.92",2018
"337","Atlanta Hawks","24","58",".293","20.0","103.4","108.8","-5.30",2018
"338","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division",2019
"339","Toronto Raptors*","58","24",".707","—","114.4","108.4","5.49",2019
"340","Philadelphia 76ers*","51","31",".622","7.0","115.2","112.5","2.25",2019
"341","Boston Celtics*","49","33",".598","9.0","112.4","108.0","3.90",2019
"342","Brooklyn Nets*","42","40",".512","16.0","112.2","112.3","-0.40",2019
"343","New York Knicks","17","65",".207","41.0","104.6","113.8","-8.93",2019
"344","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2019
"345","Milwaukee Bucks*","60","22",".732","—","118.1","109.3","8.04",2019
"346","Indiana Pacers*","48","34",".585","12.0","108.0","104.7","2.76",2019
"347","Detroit Pistons*","41","41",".500","19.0","107.0","107.3","-0.56",2019
"348","Chicago Bulls","22","60",".268","38.0","104.9","113.4","-8.32",2019
"349","Cleveland Cavaliers","19","63",".232","41.0","104.5","114.1","-9.39",2019
"350","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division",2019
"351","Orlando Magic*","42","40",".512","—","107.3","106.6","0.28",2019
"352","Charlotte Hornets","39","43",".476","3.0","110.7","111.8","-1.32",2019
"353","Miami Heat","39","43",".476","3.0","105.7","105.9","-0.45",2019
"354","Washington Wizards","32","50",".390","10.0","114.0","116.9","-3.30",2019
"355","Atlanta Hawks","29","53",".354","13.0","113.3","119.4","-6.06",2019
"356","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division",2020
"357","Toronto Raptors*","53","19",".736","—","112.8","106.5","5.97",2020
"358","Boston Celtics*","48","24",".667","5.0","113.7","107.3","5.83",2020
"359","Philadelphia 76ers*","43","30",".589","10.5","110.7","108.4","2.25",2020
"360","Brooklyn Nets*","35","37",".486","18.0","111.8","112.3","-1.01",2020
"361","New York Knicks","21","45",".318","29.0","105.8","112.3","-6.72",2020
"362","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2020
"363","Milwaukee Bucks*","56","17",".767","—","118.7","108.6","9.41",2020
"364","Indiana Pacers*","45","28",".616","11.0","109.4","107.5","1.63",2020
"365","Chicago Bulls","22","43",".338","30.0","106.8","109.9","-4.00",2020
"366","Detroit Pistons","20","46",".303","32.5","107.2","110.8","-4.38",2020
"367","Cleveland Cavaliers","19","46",".292","33.0","106.9","114.8","-7.77",2020
"368","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division",2020
"369","Miami Heat*","44","29",".603","—","112.0","109.1","2.59",2020
"370","Orlando Magic*","33","40",".452","11.0","107.3","108.3","-0.93",2020
"371","Charlotte Hornets","23","42",".354","17.0","102.9","109.6","-7.03",2020
"372","Washington Wizards","25","47",".347","18.5","114.4","119.1","-5.24",2020
"373","Atlanta Hawks","20","47",".299","21.0","111.8","119.7","-7.71",2020
"374","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division",2021
"375","Philadelphia 76ers*","49","23",".681","—","113.6","108.1","5.28",2021
"376","Brooklyn Nets*","48","24",".667","1.0","118.6","114.1","4.24",2021
"377","New York Knicks*","41","31",".569","8.0","107.0","104.7","2.13",2021
"378","Boston Celtics*","36","36",".500","13.0","112.6","111.2","1.32",2021
"379","Toronto Raptors","27","45",".375","22.0","111.3","111.7","-0.54",2021
"380","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2021
"381","Milwaukee Bucks*","46","26",".639","—","120.1","114.2","5.57",2021
"382","Indiana Pacers","34","38",".472","12.0","115.3","115.3","-0.13",2021
"383","Chicago Bulls","31","41",".431","15.0","110.7","111.6","-0.94",2021
"384","Cleveland Cavaliers","22","50",".306","24.0","103.8","112.3","-8.19",2021
"385","Detroit Pistons","20","52",".278","26.0","106.6","111.1","-4.38",2021
"386","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division",2021
"387","Atlanta Hawks*","41","31",".569","—","113.7","111.4","2.14",2021
"388","Miami Heat*","40","32",".556","1.0","108.1","108.0","-0.06",2021
"389","Washington Wizards*","34","38",".472","7.0","116.6","118.5","-1.85",2021
"390","Charlotte Hornets","33","39",".458","8.0","109.5","111.4","-1.94",2021
"391","Orlando Magic","21","51",".292","20.0","104.0","113.3","-9.02",2021
"392","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division",2022
"393","Boston Celtics*","51","31",".622","—","111.8","104.5","7.02",2022
"394","Philadelphia 76ers*","51","31",".622","—","109.9","107.3","2.57",2022
"395","Toronto Raptors*","48","34",".585","3.0","109.4","107.1","2.38",2022
"396","Brooklyn Nets*","44","38",".537","7.0","112.9","112.1","0.82",2022
"397","New York Knicks","37","45",".451","14.0","106.5","106.6","-0.01",2022
"398","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2022
"399","Milwaukee Bucks*","51","31",".622","—","115.5","112.1","3.22",2022
"400","Chicago Bulls*","46","36",".561","5.0","111.6","112.0","-0.38",2022
"401","Cleveland Cavaliers","44","38",".537","7.0","107.8","105.7","2.04",2022
"402","Indiana Pacers","25","57",".305","26.0","111.5","114.9","-3.26",2022
"403","Detroit Pistons","23","59",".280","28.0","104.8","112.5","-7.36",2022
"404","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division",2022
"405","Miami Heat*","53","29",".646","—","110.0","105.6","4.23",2022
"406","Atlanta Hawks*","43","39",".524","10.0","113.9","112.4","1.55",2022
"407","Charlotte Hornets","43","39",".524","10.0","115.3","114.9","0.53",2022
"408","Washington Wizards","35","47",".427","18.0","108.6","112.0","-3.23",2022
"409","Orlando Magic","22","60",".268","31.0","104.2","112.2","-7.67",2022
"410","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division","Atlantic Division",2023
"411","Boston Celtics* (2)","57","25",".695","—","117.9","111.4","6.38",2023
"412","Philadelphia 76ers* (3)","54","28",".659","3.0","115.2","110.9","4.37",2023
"413","New York Knicks* (5)","47","35",".573","10.0","116.0","113.1","2.99",2023
"414","Brooklyn Nets* (6)","45","37",".549","12.0","113.4","112.5","1.03",2023
"415","Toronto Raptors* (9)","41","41",".500","16.0","112.9","111.4","1.59",2023
"416","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division","Central Division",2023
"417","Milwaukee Bucks* (1)","58","24",".707","—","116.9","113.3","3.61",2023
"418","Cleveland Cavaliers* (4)","51","31",".622","7.0","112.3","106.9","5.23",2023
"419","Chicago Bulls* (10)","40","42",".488","18.0","113.1","111.8","1.37",2023
"420","Indiana Pacers (11)","35","47",".427","23.0","116.3","119.5","-2.91",2023
"421","Detroit Pistons (15)","17","65",".207","41.0","110.3","118.5","-7.73",2023
"422","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division","Southeast Division",2023
"423","Miami Heat* (7)","44","38",".537","—","109.5","109.8","-0.13",2023
"424","Atlanta Hawks* (8)","41","41",".500","3.0","118.4","118.1","0.32",2023
"425","Washington Wizards (12)","35","47",".427","9.0","113.2","114.4","-1.06",2023
"426","Orlando Magic (13)","34","48",".415","10.0","111.4","114.0","-2.39",2023
"427","Charlotte Hornets (14)","27","55",".329","17.0","111.0","117.2","-5.89",2023
